INFO:root:Namespace(aug_level=2, batch_size=16, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=True, gpus='0', kv_store='local', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='1', retrain=False, wd=0.0001, workspace=512)
[04:25:38] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[04:25:40] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0)]
[04:25:42] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [50]	Speed: 329.47 samples/sec	accuracy=0.145000
INFO:root:Epoch[0] Batch [100]	Speed: 1241.05 samples/sec	accuracy=0.228750
INFO:root:Epoch[0] Batch [150]	Speed: 1202.62 samples/sec	accuracy=0.223750
INFO:root:Epoch[0] Batch [200]	Speed: 1337.02 samples/sec	accuracy=0.216250
INFO:root:Epoch[0] Batch [250]	Speed: 1379.10 samples/sec	accuracy=0.255000
INFO:root:Epoch[0] Batch [300]	Speed: 1331.27 samples/sec	accuracy=0.270000
INFO:root:Epoch[0] Batch [350]	Speed: 1246.95 samples/sec	accuracy=0.245000
INFO:root:Epoch[0] Batch [400]	Speed: 1318.48 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [450]	Speed: 1378.15 samples/sec	accuracy=0.326250
INFO:root:Epoch[0] Batch [500]	Speed: 1305.72 samples/sec	accuracy=0.321250
INFO:root:Epoch[0] Batch [550]	Speed: 1244.07 samples/sec	accuracy=0.323750
INFO:root:Epoch[0] Batch [600]	Speed: 1289.77 samples/sec	accuracy=0.305000
INFO:root:Epoch[0] Batch [650]	Speed: 1192.32 samples/sec	accuracy=0.335000
INFO:root:Epoch[0] Batch [700]	Speed: 1226.01 samples/sec	accuracy=0.296250
INFO:root:Epoch[0] Batch [750]	Speed: 1275.06 samples/sec	accuracy=0.326250
INFO:root:Epoch[0] Batch [800]	Speed: 1210.53 samples/sec	accuracy=0.318750
INFO:root:Epoch[0] Batch [850]	Speed: 1183.37 samples/sec	accuracy=0.346250
INFO:root:Epoch[0] Batch [900]	Speed: 1208.63 samples/sec	accuracy=0.338750
INFO:root:Epoch[0] Batch [950]	Speed: 1195.15 samples/sec	accuracy=0.331250
INFO:root:Epoch[0] Batch [1000]	Speed: 1220.10 samples/sec	accuracy=0.371250
INFO:root:Epoch[0] Batch [1050]	Speed: 1263.73 samples/sec	accuracy=0.352500
INFO:root:Epoch[0] Batch [1100]	Speed: 1236.59 samples/sec	accuracy=0.338750
INFO:root:Epoch[0] Batch [1150]	Speed: 1251.36 samples/sec	accuracy=0.358750
INFO:root:Epoch[0] Batch [1200]	Speed: 1259.05 samples/sec	accuracy=0.403750
INFO:root:Epoch[0] Batch [1250]	Speed: 1260.58 samples/sec	accuracy=0.387500
INFO:root:Epoch[0] Batch [1300]	Speed: 1215.55 samples/sec	accuracy=0.418750
INFO:root:Epoch[0] Batch [1350]	Speed: 1275.83 samples/sec	accuracy=0.408750
INFO:root:Epoch[0] Batch [1400]	Speed: 1247.18 samples/sec	accuracy=0.445000
INFO:root:Epoch[0] Batch [1450]	Speed: 1262.74 samples/sec	accuracy=0.386250
INFO:root:Epoch[0] Batch [1500]	Speed: 1248.49 samples/sec	accuracy=0.443750
INFO:root:Epoch[0] Batch [1550]	Speed: 1231.32 samples/sec	accuracy=0.388750
INFO:root:Epoch[0] Batch [1600]	Speed: 1315.79 samples/sec	accuracy=0.425000
INFO:root:Epoch[0] Batch [1650]	Speed: 1280.52 samples/sec	accuracy=0.453750
INFO:root:Epoch[0] Batch [1700]	Speed: 1285.43 samples/sec	accuracy=0.470000
INFO:root:Epoch[0] Batch [1750]	Speed: 1284.82 samples/sec	accuracy=0.483750
INFO:root:Epoch[0] Batch [1800]	Speed: 1279.10 samples/sec	accuracy=0.457500
INFO:root:Epoch[0] Batch [1850]	Speed: 1250.51 samples/sec	accuracy=0.437500
INFO:root:Epoch[0] Batch [1900]	Speed: 1288.52 samples/sec	accuracy=0.472500
INFO:root:Epoch[0] Batch [1950]	Speed: 1244.39 samples/sec	accuracy=0.523750
INFO:root:Epoch[0] Batch [2000]	Speed: 1172.82 samples/sec	accuracy=0.486250
INFO:root:Epoch[0] Batch [2050]	Speed: 1204.06 samples/sec	accuracy=0.476250
INFO:root:Epoch[0] Batch [2100]	Speed: 1234.88 samples/sec	accuracy=0.453750
INFO:root:Epoch[0] Batch [2150]	Speed: 1256.73 samples/sec	accuracy=0.482500
INFO:root:Epoch[0] Batch [2200]	Speed: 1248.25 samples/sec	accuracy=0.471250
INFO:root:Epoch[0] Batch [2250]	Speed: 1286.82 samples/sec	accuracy=0.466250
INFO:root:Epoch[0] Batch [2300]	Speed: 1274.86 samples/sec	accuracy=0.495000
INFO:root:Epoch[0] Batch [2350]	Speed: 1253.07 samples/sec	accuracy=0.507500
INFO:root:Epoch[0] Batch [2400]	Speed: 1237.81 samples/sec	accuracy=0.501250
INFO:root:Epoch[0] Batch [2450]	Speed: 1240.54 samples/sec	accuracy=0.545000
INFO:root:Epoch[0] Batch [2500]	Speed: 1233.11 samples/sec	accuracy=0.555000
INFO:root:Epoch[0] Batch [2550]	Speed: 1306.84 samples/sec	accuracy=0.546250
INFO:root:Epoch[0] Batch [2600]	Speed: 1257.96 samples/sec	accuracy=0.503750
INFO:root:Epoch[0] Batch [2650]	Speed: 1273.89 samples/sec	accuracy=0.511250
INFO:root:Epoch[0] Batch [2700]	Speed: 1272.98 samples/sec	accuracy=0.536250
INFO:root:Epoch[0] Batch [2750]	Speed: 1227.84 samples/sec	accuracy=0.583750
INFO:root:Epoch[0] Batch [2800]	Speed: 1259.67 samples/sec	accuracy=0.537500
INFO:root:Epoch[0] Batch [2850]	Speed: 1247.59 samples/sec	accuracy=0.546250
INFO:root:Epoch[0] Batch [2900]	Speed: 1193.74 samples/sec	accuracy=0.532500
INFO:root:Epoch[0] Batch [2950]	Speed: 1276.52 samples/sec	accuracy=0.566250
INFO:root:Epoch[0] Batch [3000]	Speed: 1246.26 samples/sec	accuracy=0.560000
INFO:root:Epoch[0] Batch [3050]	Speed: 1247.49 samples/sec	accuracy=0.551250
INFO:root:Epoch[0] Batch [3100]	Speed: 1208.10 samples/sec	accuracy=0.567500
INFO:root:Epoch[0] Resetting Data Iterator
INFO:root:Epoch[0] Time cost=43.907
INFO:root:Saved checkpoint to "model/resnet-cifar10-20-0-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.584900
INFO:root:Epoch[1] Batch [50]	Speed: 1322.70 samples/sec	accuracy=0.576250
INFO:root:Epoch[1] Batch [100]	Speed: 1177.22 samples/sec	accuracy=0.535000
INFO:root:Epoch[1] Batch [150]	Speed: 1201.29 samples/sec	accuracy=0.557500
INFO:root:Epoch[1] Batch [200]	Speed: 1300.47 samples/sec	accuracy=0.540000
INFO:root:Epoch[1] Batch [250]	Speed: 1261.05 samples/sec	accuracy=0.570000
INFO:root:Epoch[1] Batch [300]	Speed: 1229.13 samples/sec	accuracy=0.581250
INFO:root:Epoch[1] Batch [350]	Speed: 1240.19 samples/sec	accuracy=0.540000
INFO:root:Epoch[1] Batch [400]	Speed: 1238.43 samples/sec	accuracy=0.567500
INFO:root:Epoch[1] Batch [450]	Speed: 1280.35 samples/sec	accuracy=0.578750
INFO:root:Epoch[1] Batch [500]	Speed: 1235.97 samples/sec	accuracy=0.586250
INFO:root:Epoch[1] Batch [550]	Speed: 1207.22 samples/sec	accuracy=0.577500
INFO:root:Epoch[1] Batch [600]	Speed: 1171.66 samples/sec	accuracy=0.587500
INFO:root:Epoch[1] Batch [650]	Speed: 1207.51 samples/sec	accuracy=0.573750
INFO:root:Epoch[1] Batch [700]	Speed: 1244.51 samples/sec	accuracy=0.592500
INFO:root:Epoch[1] Batch [750]	Speed: 1233.03 samples/sec	accuracy=0.557500
INFO:root:Epoch[1] Batch [800]	Speed: 1180.09 samples/sec	accuracy=0.598750
INFO:root:Epoch[1] Batch [850]	Speed: 1218.29 samples/sec	accuracy=0.600000
INFO:root:Epoch[1] Batch [900]	Speed: 1203.21 samples/sec	accuracy=0.603750
INFO:root:Epoch[1] Batch [950]	Speed: 1308.12 samples/sec	accuracy=0.593750
INFO:root:Epoch[1] Batch [1000]	Speed: 1343.17 samples/sec	accuracy=0.652500
INFO:root:Epoch[1] Batch [1050]	Speed: 1275.77 samples/sec	accuracy=0.582500
INFO:root:Epoch[1] Batch [1100]	Speed: 1231.53 samples/sec	accuracy=0.581250
INFO:root:Epoch[1] Batch [1150]	Speed: 1243.61 samples/sec	accuracy=0.632500
INFO:root:Epoch[1] Batch [1200]	Speed: 1258.45 samples/sec	accuracy=0.646250
INFO:root:Epoch[1] Batch [1250]	Speed: 1264.72 samples/sec	accuracy=0.598750
INFO:root:Epoch[1] Batch [1300]	Speed: 1183.95 samples/sec	accuracy=0.603750
INFO:root:Epoch[1] Batch [1350]	Speed: 1298.44 samples/sec	accuracy=0.612500
INFO:root:Epoch[1] Batch [1400]	Speed: 1248.02 samples/sec	accuracy=0.600000
INFO:root:Epoch[1] Batch [1450]	Speed: 1301.12 samples/sec	accuracy=0.616250
INFO:root:Epoch[1] Batch [1500]	Speed: 1205.29 samples/sec	accuracy=0.586250
INFO:root:Epoch[1] Batch [1550]	Speed: 1286.42 samples/sec	accuracy=0.616250
INFO:root:Epoch[1] Batch [1600]	Speed: 1305.80 samples/sec	accuracy=0.611250
INFO:root:Epoch[1] Batch [1650]	Speed: 1301.63 samples/sec	accuracy=0.616250
INFO:root:Epoch[1] Batch [1700]	Speed: 1228.84 samples/sec	accuracy=0.617500
INFO:root:Epoch[1] Batch [1750]	Speed: 1289.25 samples/sec	accuracy=0.640000
INFO:root:Epoch[1] Batch [1800]	Speed: 1281.92 samples/sec	accuracy=0.635000
INFO:root:Epoch[1] Batch [1850]	Speed: 1178.13 samples/sec	accuracy=0.595000
INFO:root:Epoch[1] Batch [1900]	Speed: 1291.20 samples/sec	accuracy=0.630000
INFO:root:Epoch[1] Batch [1950]	Speed: 1275.03 samples/sec	accuracy=0.648750
INFO:root:Epoch[1] Batch [2000]	Speed: 1237.90 samples/sec	accuracy=0.628750
INFO:root:Epoch[1] Batch [2050]	Speed: 1239.94 samples/sec	accuracy=0.608750
INFO:root:Epoch[1] Batch [2100]	Speed: 1238.57 samples/sec	accuracy=0.616250
INFO:root:Epoch[1] Batch [2150]	Speed: 1212.51 samples/sec	accuracy=0.643750
INFO:root:Epoch[1] Batch [2200]	Speed: 1221.52 samples/sec	accuracy=0.617500
INFO:root:Epoch[1] Batch [2250]	Speed: 1162.62 samples/sec	accuracy=0.622500
INFO:root:Epoch[1] Batch [2300]	Speed: 1267.38 samples/sec	accuracy=0.621250
INFO:root:Epoch[1] Batch [2350]	Speed: 1274.74 samples/sec	accuracy=0.620000
INFO:root:Epoch[1] Batch [2400]	Speed: 1243.48 samples/sec	accuracy=0.633750
INFO:root:Epoch[1] Batch [2450]	Speed: 1311.07 samples/sec	accuracy=0.641250
INFO:root:Epoch[1] Batch [2500]	Speed: 1235.19 samples/sec	accuracy=0.672500
INFO:root:Epoch[1] Batch [2550]	Speed: 1232.24 samples/sec	accuracy=0.651250
INFO:root:Epoch[1] Batch [2600]	Speed: 1267.94 samples/sec	accuracy=0.640000
INFO:root:Epoch[1] Batch [2650]	Speed: 1321.21 samples/sec	accuracy=0.633750
INFO:root:Epoch[1] Batch [2700]	Speed: 1223.53 samples/sec	accuracy=0.632500
INFO:root:Epoch[1] Batch [2750]	Speed: 1293.40 samples/sec	accuracy=0.657500
INFO:root:Epoch[1] Batch [2800]	Speed: 1202.33 samples/sec	accuracy=0.625000
INFO:root:Epoch[1] Batch [2850]	Speed: 1205.11 samples/sec	accuracy=0.631250
INFO:root:Epoch[1] Batch [2900]	Speed: 1303.57 samples/sec	accuracy=0.655000
INFO:root:Epoch[1] Batch [2950]	Speed: 1334.04 samples/sec	accuracy=0.665000
INFO:root:Epoch[1] Batch [3000]	Speed: 1375.94 samples/sec	accuracy=0.672500
INFO:root:Epoch[1] Batch [3050]	Speed: 1394.77 samples/sec	accuracy=0.653750
INFO:root:Epoch[1] Batch [3100]	Speed: 1248.37 samples/sec	accuracy=0.625000
INFO:root:Epoch[1] Resetting Data Iterator
INFO:root:Epoch[1] Time cost=39.937
INFO:root:Saved checkpoint to "model/resnet-cifar10-20-0-0002.params"
INFO:root:Epoch[1] Validation-accuracy=0.685200
INFO:root:Epoch[2] Batch [50]	Speed: 1389.78 samples/sec	accuracy=0.651250
INFO:root:Epoch[2] Batch [100]	Speed: 1219.26 samples/sec	accuracy=0.665000
INFO:root:Epoch[2] Batch [150]	Speed: 1256.40 samples/sec	accuracy=0.650000
INFO:root:Epoch[2] Batch [200]	Speed: 1223.39 samples/sec	accuracy=0.643750
INFO:root:Epoch[2] Batch [250]	Speed: 1207.44 samples/sec	accuracy=0.651250
INFO:root:Epoch[2] Batch [300]	Speed: 1228.69 samples/sec	accuracy=0.648750
INFO:root:Epoch[2] Batch [350]	Speed: 1202.11 samples/sec	accuracy=0.696250
INFO:root:Epoch[2] Batch [400]	Speed: 1282.91 samples/sec	accuracy=0.670000
INFO:root:Epoch[2] Batch [450]	Speed: 1206.97 samples/sec	accuracy=0.695000
INFO:root:Epoch[2] Batch [500]	Speed: 1256.15 samples/sec	accuracy=0.660000
INFO:root:Epoch[2] Batch [550]	Speed: 1200.67 samples/sec	accuracy=0.648750
INFO:root:Epoch[2] Batch [600]	Speed: 1285.08 samples/sec	accuracy=0.645000
INFO:root:Epoch[2] Batch [650]	Speed: 1223.56 samples/sec	accuracy=0.681250
INFO:root:Epoch[2] Batch [700]	Speed: 1206.71 samples/sec	accuracy=0.645000
INFO:root:Epoch[2] Batch [750]	Speed: 1243.06 samples/sec	accuracy=0.670000
INFO:root:Epoch[2] Batch [800]	Speed: 1197.33 samples/sec	accuracy=0.683750
INFO:root:Epoch[2] Batch [850]	Speed: 1279.89 samples/sec	accuracy=0.673750
INFO:root:Epoch[2] Batch [900]	Speed: 1255.51 samples/sec	accuracy=0.681250
INFO:root:Epoch[2] Batch [950]	Speed: 1276.53 samples/sec	accuracy=0.666250
INFO:root:Epoch[2] Batch [1000]	Speed: 1363.39 samples/sec	accuracy=0.691250
INFO:root:Epoch[2] Batch [1050]	Speed: 1429.58 samples/sec	accuracy=0.667500
INFO:root:Epoch[2] Batch [1100]	Speed: 1350.03 samples/sec	accuracy=0.680000
INFO:root:Epoch[2] Batch [1150]	Speed: 1275.38 samples/sec	accuracy=0.706250
INFO:root:Epoch[2] Batch [1200]	Speed: 1307.53 samples/sec	accuracy=0.653750
INFO:root:Epoch[2] Batch [1250]	Speed: 1233.28 samples/sec	accuracy=0.688750
INFO:root:Epoch[2] Batch [1300]	Speed: 1180.40 samples/sec	accuracy=0.702500
INFO:root:Epoch[2] Batch [1350]	Speed: 1245.39 samples/sec	accuracy=0.691250
INFO:root:Epoch[2] Batch [1400]	Speed: 1281.47 samples/sec	accuracy=0.686250
INFO:root:Epoch[2] Batch [1450]	Speed: 1243.97 samples/sec	accuracy=0.676250
INFO:root:Epoch[2] Batch [1500]	Speed: 1294.56 samples/sec	accuracy=0.693750
INFO:root:Epoch[2] Batch [1550]	Speed: 1155.21 samples/sec	accuracy=0.655000
INFO:root:Epoch[2] Batch [1600]	Speed: 1181.18 samples/sec	accuracy=0.705000
INFO:root:Epoch[2] Batch [1650]	Speed: 1239.65 samples/sec	accuracy=0.683750
INFO:root:Epoch[2] Batch [1700]	Speed: 1262.16 samples/sec	accuracy=0.680000
INFO:root:Epoch[2] Batch [1750]	Speed: 1299.11 samples/sec	accuracy=0.667500
INFO:root:Epoch[2] Batch [1800]	Speed: 1375.37 samples/sec	accuracy=0.710000
INFO:root:Epoch[2] Batch [1850]	Speed: 1416.93 samples/sec	accuracy=0.670000
INFO:root:Epoch[2] Batch [1900]	Speed: 1364.03 samples/sec	accuracy=0.692500
INFO:root:Epoch[2] Batch [1950]	Speed: 1287.71 samples/sec	accuracy=0.675000
INFO:root:Epoch[2] Batch [2000]	Speed: 1212.31 samples/sec	accuracy=0.706250
INFO:root:Epoch[2] Batch [2050]	Speed: 1169.87 samples/sec	accuracy=0.690000
INFO:root:Epoch[2] Batch [2100]	Speed: 1374.26 samples/sec	accuracy=0.680000
INFO:root:Epoch[2] Batch [2150]	Speed: 1333.67 samples/sec	accuracy=0.682500
INFO:root:Epoch[2] Batch [2200]	Speed: 1383.07 samples/sec	accuracy=0.703750
INFO:root:Epoch[2] Batch [2250]	Speed: 1317.94 samples/sec	accuracy=0.690000
INFO:root:Epoch[2] Batch [2300]	Speed: 1327.16 samples/sec	accuracy=0.658750
INFO:root:Epoch[2] Batch [2350]	Speed: 1205.15 samples/sec	accuracy=0.706250
INFO:root:Epoch[2] Batch [2400]	Speed: 1282.03 samples/sec	accuracy=0.693750
INFO:root:Epoch[2] Batch [2450]	Speed: 1246.45 samples/sec	accuracy=0.693750
