INFO:root:Namespace(aug_level=2, batch_size=16, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=True, gpus='0,1,2,3', kv_store='local', list_dir='./', lr=0.1, memonger=True, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='4', retrain=False, wd=0.0001, workspace=512)
[14:41:27] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
[14:41:28] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[14:41:28] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3)]
INFO:root:Epoch[0] Batch [50]	Speed: 151.22 samples/sec	accuracy=0.161250
INFO:root:Epoch[0] Batch [100]	Speed: 780.61 samples/sec	accuracy=0.221250
INFO:root:Epoch[0] Batch [150]	Speed: 724.22 samples/sec	accuracy=0.238750
INFO:root:Epoch[0] Batch [200]	Speed: 636.48 samples/sec	accuracy=0.208750
INFO:root:Epoch[0] Batch [250]	Speed: 660.02 samples/sec	accuracy=0.262500
INFO:root:Epoch[0] Batch [300]	Speed: 566.22 samples/sec	accuracy=0.247500
INFO:root:Epoch[0] Batch [350]	Speed: 718.46 samples/sec	accuracy=0.238750
INFO:root:Epoch[0] Batch [400]	Speed: 764.13 samples/sec	accuracy=0.252500
INFO:root:Epoch[0] Batch [450]	Speed: 786.81 samples/sec	accuracy=0.267500
INFO:root:Epoch[0] Batch [500]	Speed: 764.49 samples/sec	accuracy=0.280000
INFO:root:Epoch[0] Batch [550]	Speed: 762.68 samples/sec	accuracy=0.301250
INFO:root:Epoch[0] Batch [600]	Speed: 783.05 samples/sec	accuracy=0.288750
INFO:root:Epoch[0] Batch [650]	Speed: 791.06 samples/sec	accuracy=0.307500
INFO:root:Epoch[0] Batch [700]	Speed: 682.74 samples/sec	accuracy=0.295000
INFO:root:Epoch[0] Batch [750]	Speed: 761.68 samples/sec	accuracy=0.317500
INFO:root:Epoch[0] Batch [800]	Speed: 667.65 samples/sec	accuracy=0.325000
INFO:root:Epoch[0] Batch [850]	Speed: 713.32 samples/sec	accuracy=0.336250
INFO:root:Epoch[0] Batch [900]	Speed: 753.47 samples/sec	accuracy=0.336250
INFO:root:Epoch[0] Batch [950]	Speed: 747.08 samples/sec	accuracy=0.360000
INFO:root:Epoch[0] Batch [1000]	Speed: 701.89 samples/sec	accuracy=0.353750
INFO:root:Epoch[0] Batch [1050]	Speed: 791.50 samples/sec	accuracy=0.357500
INFO:root:Epoch[0] Batch [1100]	Speed: 720.41 samples/sec	accuracy=0.347500
INFO:root:Epoch[0] Batch [1150]	Speed: 716.40 samples/sec	accuracy=0.368750
INFO:root:Epoch[0] Batch [1200]	Speed: 787.72 samples/sec	accuracy=0.418750
INFO:root:Epoch[0] Batch [1250]	Speed: 718.78 samples/sec	accuracy=0.391250
INFO:root:Epoch[0] Batch [1300]	Speed: 787.14 samples/sec	accuracy=0.402500
INFO:root:Epoch[0] Batch [1350]	Speed: 773.05 samples/sec	accuracy=0.380000
INFO:root:Epoch[0] Batch [1400]	Speed: 754.17 samples/sec	accuracy=0.407500
INFO:root:Epoch[0] Batch [1450]	Speed: 755.97 samples/sec	accuracy=0.388750
INFO:root:Epoch[0] Batch [1500]	Speed: 779.26 samples/sec	accuracy=0.427500
INFO:root:Epoch[0] Batch [1550]	Speed: 719.23 samples/sec	accuracy=0.385000
INFO:root:Epoch[0] Batch [1600]	Speed: 749.09 samples/sec	accuracy=0.420000
INFO:root:Epoch[0] Batch [1650]	Speed: 638.61 samples/sec	accuracy=0.430000
INFO:root:Epoch[0] Batch [1700]	Speed: 698.07 samples/sec	accuracy=0.442500
INFO:root:Epoch[0] Batch [1750]	Speed: 650.92 samples/sec	accuracy=0.470000
INFO:root:Epoch[0] Batch [1800]	Speed: 785.45 samples/sec	accuracy=0.452500
INFO:root:Epoch[0] Batch [1850]	Speed: 760.24 samples/sec	accuracy=0.452500
INFO:root:Epoch[0] Batch [1900]	Speed: 764.43 samples/sec	accuracy=0.463750
INFO:root:Epoch[0] Batch [1950]	Speed: 757.51 samples/sec	accuracy=0.493750
INFO:root:Epoch[0] Batch [2000]	Speed: 738.69 samples/sec	accuracy=0.491250
INFO:root:Epoch[0] Batch [2050]	Speed: 741.62 samples/sec	accuracy=0.472500
INFO:root:Epoch[0] Batch [2100]	Speed: 791.78 samples/sec	accuracy=0.471250
INFO:root:Epoch[0] Batch [2150]	Speed: 773.75 samples/sec	accuracy=0.477500
INFO:root:Epoch[0] Batch [2200]	Speed: 741.58 samples/sec	accuracy=0.490000
INFO:root:Epoch[0] Batch [2250]	Speed: 721.79 samples/sec	accuracy=0.462500
INFO:root:Epoch[0] Batch [2300]	Speed: 744.17 samples/sec	accuracy=0.492500
INFO:root:Epoch[0] Batch [2350]	Speed: 643.30 samples/sec	accuracy=0.485000
INFO:root:Epoch[0] Batch [2400]	Speed: 748.39 samples/sec	accuracy=0.508750
INFO:root:Epoch[0] Batch [2450]	Speed: 705.11 samples/sec	accuracy=0.518750
INFO:root:Epoch[0] Batch [2500]	Speed: 739.07 samples/sec	accuracy=0.525000
INFO:root:Epoch[0] Batch [2550]	Speed: 759.45 samples/sec	accuracy=0.515000
INFO:root:Epoch[0] Batch [2600]	Speed: 773.07 samples/sec	accuracy=0.492500
INFO:root:Epoch[0] Batch [2650]	Speed: 750.79 samples/sec	accuracy=0.511250
INFO:root:Epoch[0] Batch [2700]	Speed: 644.54 samples/sec	accuracy=0.502500
INFO:root:Epoch[0] Batch [2750]	Speed: 678.62 samples/sec	accuracy=0.566250
INFO:root:Epoch[0] Batch [2800]	Speed: 750.19 samples/sec	accuracy=0.537500
INFO:root:Epoch[0] Batch [2850]	Speed: 751.63 samples/sec	accuracy=0.555000
INFO:root:Epoch[0] Batch [2900]	Speed: 734.85 samples/sec	accuracy=0.511250
INFO:root:Epoch[0] Batch [2950]	Speed: 777.35 samples/sec	accuracy=0.563750
INFO:root:Epoch[0] Batch [3000]	Speed: 733.97 samples/sec	accuracy=0.542500
INFO:root:Epoch[0] Batch [3050]	Speed: 745.72 samples/sec	accuracy=0.536250
INFO:root:Epoch[0] Batch [3100]	Speed: 640.06 samples/sec	accuracy=0.550000
INFO:root:Epoch[0] Resetting Data Iterator
INFO:root:Epoch[0] Time cost=75.524
INFO:root:Saved checkpoint to "model/resnet-cifar10-20-0-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.564000
INFO:root:Epoch[1] Batch [50]	Speed: 720.51 samples/sec	accuracy=0.538750
INFO:root:Epoch[1] Batch [100]	Speed: 754.41 samples/sec	accuracy=0.525000
INFO:root:Epoch[1] Batch [150]	Speed: 686.65 samples/sec	accuracy=0.568750
INFO:root:Epoch[1] Batch [200]	Speed: 771.55 samples/sec	accuracy=0.556250
INFO:root:Epoch[1] Batch [250]	Speed: 708.56 samples/sec	accuracy=0.581250
INFO:root:Epoch[1] Batch [300]	Speed: 763.98 samples/sec	accuracy=0.568750
INFO:root:Epoch[1] Batch [350]	Speed: 751.04 samples/sec	accuracy=0.552500
INFO:root:Epoch[1] Batch [400]	Speed: 797.01 samples/sec	accuracy=0.571250
INFO:root:Epoch[1] Batch [450]	Speed: 739.41 samples/sec	accuracy=0.573750
INFO:root:Epoch[1] Batch [500]	Speed: 759.96 samples/sec	accuracy=0.590000
INFO:root:Epoch[1] Batch [550]	Speed: 657.80 samples/sec	accuracy=0.550000
INFO:root:Epoch[1] Batch [600]	Speed: 755.00 samples/sec	accuracy=0.600000
INFO:root:Epoch[1] Batch [650]	Speed: 759.67 samples/sec	accuracy=0.585000
INFO:root:Epoch[1] Batch [700]	Speed: 773.63 samples/sec	accuracy=0.572500
INFO:root:Epoch[1] Batch [750]	Speed: 788.63 samples/sec	accuracy=0.553750
INFO:root:Epoch[1] Batch [800]	Speed: 770.16 samples/sec	accuracy=0.572500
INFO:root:Epoch[1] Batch [850]	Speed: 718.30 samples/sec	accuracy=0.576250
INFO:root:Epoch[1] Batch [900]	Speed: 741.70 samples/sec	accuracy=0.603750
INFO:root:Epoch[1] Batch [950]	Speed: 718.55 samples/sec	accuracy=0.606250
INFO:root:Epoch[1] Batch [1000]	Speed: 795.06 samples/sec	accuracy=0.633750
INFO:root:Epoch[1] Batch [1050]	Speed: 792.78 samples/sec	accuracy=0.576250
INFO:root:Epoch[1] Batch [1100]	Speed: 663.73 samples/sec	accuracy=0.560000
INFO:root:Epoch[1] Batch [1150]	Speed: 617.80 samples/sec	accuracy=0.623750
INFO:root:Epoch[1] Batch [1200]	Speed: 762.88 samples/sec	accuracy=0.600000
INFO:root:Epoch[1] Batch [1250]	Speed: 753.12 samples/sec	accuracy=0.617500
INFO:root:Epoch[1] Batch [1300]	Speed: 696.08 samples/sec	accuracy=0.572500
INFO:root:Epoch[1] Batch [1350]	Speed: 763.02 samples/sec	accuracy=0.601250
INFO:root:Epoch[1] Batch [1400]	Speed: 778.89 samples/sec	accuracy=0.623750
INFO:root:Epoch[1] Batch [1450]	Speed: 520.14 samples/sec	accuracy=0.623750
INFO:root:Epoch[1] Batch [1500]	Speed: 792.52 samples/sec	accuracy=0.590000
INFO:root:Epoch[1] Batch [1550]	Speed: 777.74 samples/sec	accuracy=0.606250
INFO:root:Epoch[1] Batch [1600]	Speed: 731.03 samples/sec	accuracy=0.605000
INFO:root:Epoch[1] Batch [1650]	Speed: 774.84 samples/sec	accuracy=0.592500
INFO:root:Epoch[1] Batch [1700]	Speed: 746.10 samples/sec	accuracy=0.621250
INFO:root:Epoch[1] Batch [1750]	Speed: 720.85 samples/sec	accuracy=0.616250
