INFO:root:Namespace(aug_level=2, batch_size=16, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=True, gpus='0,1,2,3', kv_store='local', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='4', retrain=False, wd=0.0001, workspace=512)
[05:37:32] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[05:37:34] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3)]
[05:37:36] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [50]	Speed: 271.71 samples/sec	accuracy=0.141250
INFO:root:Epoch[0] Batch [100]	Speed: 986.50 samples/sec	accuracy=0.230000
INFO:root:Epoch[0] Batch [150]	Speed: 993.88 samples/sec	accuracy=0.237500
INFO:root:Epoch[0] Batch [200]	Speed: 1025.32 samples/sec	accuracy=0.237500
INFO:root:Epoch[0] Batch [250]	Speed: 975.18 samples/sec	accuracy=0.273750
INFO:root:Epoch[0] Batch [300]	Speed: 919.90 samples/sec	accuracy=0.283750
INFO:root:Epoch[0] Batch [350]	Speed: 923.81 samples/sec	accuracy=0.277500
INFO:root:Epoch[0] Batch [400]	Speed: 819.10 samples/sec	accuracy=0.278750
INFO:root:Epoch[0] Batch [450]	Speed: 922.09 samples/sec	accuracy=0.308750
INFO:root:Epoch[0] Batch [500]	Speed: 850.64 samples/sec	accuracy=0.308750
INFO:root:Epoch[0] Batch [550]	Speed: 962.75 samples/sec	accuracy=0.326250
INFO:root:Epoch[0] Batch [600]	Speed: 1015.29 samples/sec	accuracy=0.296250
INFO:root:Epoch[0] Batch [650]	Speed: 835.28 samples/sec	accuracy=0.313750
INFO:root:Epoch[0] Batch [700]	Speed: 1021.30 samples/sec	accuracy=0.296250
INFO:root:Epoch[0] Batch [750]	Speed: 950.60 samples/sec	accuracy=0.323750
INFO:root:Epoch[0] Batch [800]	Speed: 1080.33 samples/sec	accuracy=0.327500
INFO:root:Epoch[0] Batch [850]	Speed: 1075.63 samples/sec	accuracy=0.320000
INFO:root:Epoch[0] Batch [900]	Speed: 1021.03 samples/sec	accuracy=0.360000
INFO:root:Epoch[0] Batch [950]	Speed: 980.05 samples/sec	accuracy=0.348750
INFO:root:Epoch[0] Batch [1000]	Speed: 975.33 samples/sec	accuracy=0.378750
INFO:root:Epoch[0] Batch [1050]	Speed: 1058.02 samples/sec	accuracy=0.335000
INFO:root:Epoch[0] Batch [1100]	Speed: 1012.86 samples/sec	accuracy=0.327500
