INFO:root:Namespace(aug_level=2, batch_size=16, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=False, gpus='0,1,2,3', kv_store='local', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='4', retrain=False, wd=0.0001, workspace=512)
[05:00:21] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[05:00:23] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3)]
[05:00:25] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [50]	Speed: 1124.10 samples/sec	accuracy=0.135000
INFO:root:Epoch[0] Batch [100]	Speed: 1302.09 samples/sec	accuracy=0.176250
INFO:root:Epoch[0] Batch [150]	Speed: 1280.79 samples/sec	accuracy=0.198750
INFO:root:Epoch[0] Batch [200]	Speed: 1278.08 samples/sec	accuracy=0.197500
INFO:root:Epoch[0] Batch [250]	Speed: 1153.40 samples/sec	accuracy=0.238750
INFO:root:Epoch[0] Batch [300]	Speed: 1317.71 samples/sec	accuracy=0.220000
INFO:root:Epoch[0] Batch [350]	Speed: 1204.97 samples/sec	accuracy=0.202500
INFO:root:Epoch[0] Batch [400]	Speed: 1263.23 samples/sec	accuracy=0.223750
INFO:root:Epoch[0] Batch [450]	Speed: 1228.12 samples/sec	accuracy=0.233750
INFO:root:Epoch[0] Batch [500]	Speed: 946.47 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [550]	Speed: 1043.04 samples/sec	accuracy=0.272500
INFO:root:Epoch[0] Batch [600]	Speed: 1344.35 samples/sec	accuracy=0.260000
INFO:root:Epoch[0] Batch [650]	Speed: 1145.95 samples/sec	accuracy=0.271250
INFO:root:Epoch[0] Batch [700]	Speed: 1150.80 samples/sec	accuracy=0.246250
INFO:root:Epoch[0] Batch [750]	Speed: 1130.55 samples/sec	accuracy=0.295000
INFO:root:Epoch[0] Batch [800]	Speed: 1174.49 samples/sec	accuracy=0.242500
INFO:root:Epoch[0] Batch [850]	Speed: 1168.24 samples/sec	accuracy=0.262500
INFO:root:Epoch[0] Batch [900]	Speed: 1058.63 samples/sec	accuracy=0.283750
INFO:root:Epoch[0] Batch [950]	Speed: 1323.51 samples/sec	accuracy=0.276250
INFO:root:Epoch[0] Batch [1000]	Speed: 1146.07 samples/sec	accuracy=0.333750
INFO:root:Epoch[0] Batch [1050]	Speed: 1157.02 samples/sec	accuracy=0.283750
INFO:root:Epoch[0] Batch [1100]	Speed: 1029.43 samples/sec	accuracy=0.280000
INFO:root:Epoch[0] Batch [1150]	Speed: 1207.38 samples/sec	accuracy=0.321250
INFO:root:Epoch[0] Batch [1200]	Speed: 1170.19 samples/sec	accuracy=0.328750
INFO:root:Epoch[0] Batch [1250]	Speed: 1255.95 samples/sec	accuracy=0.313750
INFO:root:Epoch[0] Batch [1300]	Speed: 1225.82 samples/sec	accuracy=0.301250
INFO:root:Epoch[0] Batch [1350]	Speed: 1348.62 samples/sec	accuracy=0.321250
INFO:root:Epoch[0] Batch [1400]	Speed: 1187.17 samples/sec	accuracy=0.343750
INFO:root:Epoch[0] Batch [1450]	Speed: 1278.73 samples/sec	accuracy=0.311250
INFO:root:Epoch[0] Batch [1500]	Speed: 1383.60 samples/sec	accuracy=0.343750
INFO:root:Epoch[0] Batch [1550]	Speed: 1222.87 samples/sec	accuracy=0.315000
INFO:root:Epoch[0] Batch [1600]	Speed: 1317.16 samples/sec	accuracy=0.346250
INFO:root:Epoch[0] Batch [1650]	Speed: 1138.39 samples/sec	accuracy=0.358750
INFO:root:Epoch[0] Batch [1700]	Speed: 1259.09 samples/sec	accuracy=0.390000
INFO:root:Epoch[0] Batch [1750]	Speed: 1349.36 samples/sec	accuracy=0.393750
INFO:root:Epoch[0] Batch [1800]	Speed: 1289.20 samples/sec	accuracy=0.421250
INFO:root:Epoch[0] Batch [1850]	Speed: 1142.86 samples/sec	accuracy=0.378750
INFO:root:Epoch[0] Batch [1900]	Speed: 1163.01 samples/sec	accuracy=0.405000
INFO:root:Epoch[0] Batch [1950]	Speed: 1309.92 samples/sec	accuracy=0.401250
INFO:root:Epoch[0] Batch [2000]	Speed: 1242.59 samples/sec	accuracy=0.438750
INFO:root:Epoch[0] Batch [2050]	Speed: 1247.25 samples/sec	accuracy=0.395000
INFO:root:Epoch[0] Batch [2100]	Speed: 1309.69 samples/sec	accuracy=0.412500
INFO:root:Epoch[0] Batch [2150]	Speed: 1361.64 samples/sec	accuracy=0.398750
INFO:root:Epoch[0] Batch [2200]	Speed: 1153.06 samples/sec	accuracy=0.400000
INFO:root:Epoch[0] Batch [2250]	Speed: 1152.84 samples/sec	accuracy=0.397500
INFO:root:Epoch[0] Batch [2300]	Speed: 1161.97 samples/sec	accuracy=0.402500
INFO:root:Epoch[0] Batch [2350]	Speed: 1266.07 samples/sec	accuracy=0.405000
INFO:root:Epoch[0] Batch [2400]	Speed: 1295.38 samples/sec	accuracy=0.445000
INFO:root:Epoch[0] Batch [2450]	Speed: 1306.93 samples/sec	accuracy=0.433750
INFO:root:Epoch[0] Batch [2500]	Speed: 1298.46 samples/sec	accuracy=0.447500
INFO:root:Epoch[0] Batch [2550]	Speed: 1225.54 samples/sec	accuracy=0.451250
INFO:root:Epoch[0] Batch [2600]	Speed: 1078.76 samples/sec	accuracy=0.430000
INFO:root:Epoch[0] Batch [2650]	Speed: 1189.92 samples/sec	accuracy=0.443750
INFO:root:Epoch[0] Batch [2700]	Speed: 1101.09 samples/sec	accuracy=0.442500
INFO:root:Epoch[0] Batch [2750]	Speed: 926.03 samples/sec	accuracy=0.471250
INFO:root:Epoch[0] Batch [2800]	Speed: 1266.66 samples/sec	accuracy=0.455000
INFO:root:Epoch[0] Batch [2850]	Speed: 1170.63 samples/sec	accuracy=0.496250
INFO:root:Epoch[0] Batch [2900]	Speed: 1094.81 samples/sec	accuracy=0.456250
INFO:root:Epoch[0] Batch [2950]	Speed: 1108.87 samples/sec	accuracy=0.481250
INFO:root:Epoch[0] Batch [3000]	Speed: 1254.20 samples/sec	accuracy=0.460000
INFO:root:Epoch[0] Batch [3050]	Speed: 1176.11 samples/sec	accuracy=0.456250
INFO:root:Epoch[0] Batch [3100]	Speed: 1054.57 samples/sec	accuracy=0.508750
INFO:root:Epoch[0] Resetting Data Iterator
INFO:root:Epoch[0] Time cost=42.281
INFO:root:Saved checkpoint to "model/resnet-cifar10-20-0-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.529400
INFO:root:Epoch[1] Batch [50]	Speed: 967.12 samples/sec	accuracy=0.481250
INFO:root:Epoch[1] Batch [100]	Speed: 1136.96 samples/sec	accuracy=0.445000
INFO:root:Epoch[1] Batch [150]	Speed: 1070.36 samples/sec	accuracy=0.502500
INFO:root:Epoch[1] Batch [200]	Speed: 1229.67 samples/sec	accuracy=0.476250
INFO:root:Epoch[1] Batch [250]	Speed: 1252.34 samples/sec	accuracy=0.492500
INFO:root:Epoch[1] Batch [300]	Speed: 1349.91 samples/sec	accuracy=0.495000
INFO:root:Epoch[1] Batch [350]	Speed: 1361.50 samples/sec	accuracy=0.476250
INFO:root:Epoch[1] Batch [400]	Speed: 1246.54 samples/sec	accuracy=0.522500
INFO:root:Epoch[1] Batch [450]	Speed: 1055.23 samples/sec	accuracy=0.541250
INFO:root:Epoch[1] Batch [500]	Speed: 1193.20 samples/sec	accuracy=0.500000
INFO:root:Epoch[1] Batch [550]	Speed: 731.60 samples/sec	accuracy=0.496250
INFO:root:Epoch[1] Batch [600]	Speed: 881.30 samples/sec	accuracy=0.520000
INFO:root:Epoch[1] Batch [650]	Speed: 1201.77 samples/sec	accuracy=0.500000
INFO:root:Epoch[1] Batch [700]	Speed: 1266.88 samples/sec	accuracy=0.536250
INFO:root:Epoch[1] Batch [750]	Speed: 1283.25 samples/sec	accuracy=0.511250
INFO:root:Epoch[1] Batch [800]	Speed: 1124.89 samples/sec	accuracy=0.526250
INFO:root:Epoch[1] Batch [850]	Speed: 1311.62 samples/sec	accuracy=0.510000
INFO:root:Epoch[1] Batch [900]	Speed: 1299.85 samples/sec	accuracy=0.520000
INFO:root:Epoch[1] Batch [950]	Speed: 1199.44 samples/sec	accuracy=0.543750
INFO:root:Epoch[1] Batch [1000]	Speed: 1057.32 samples/sec	accuracy=0.547500
INFO:root:Epoch[1] Batch [1050]	Speed: 1170.25 samples/sec	accuracy=0.530000
INFO:root:Epoch[1] Batch [1100]	Speed: 1093.17 samples/sec	accuracy=0.503750
INFO:root:Epoch[1] Batch [1150]	Speed: 1342.76 samples/sec	accuracy=0.575000
INFO:root:Epoch[1] Batch [1200]	Speed: 1253.73 samples/sec	accuracy=0.585000
INFO:root:Epoch[1] Batch [1250]	Speed: 1225.23 samples/sec	accuracy=0.563750
INFO:root:Epoch[1] Batch [1300]	Speed: 1209.20 samples/sec	accuracy=0.526250
INFO:root:Epoch[1] Batch [1350]	Speed: 1187.09 samples/sec	accuracy=0.565000
INFO:root:Epoch[1] Batch [1400]	Speed: 1142.26 samples/sec	accuracy=0.555000
INFO:root:Epoch[1] Batch [1450]	Speed: 1205.85 samples/sec	accuracy=0.551250
INFO:root:Epoch[1] Batch [1500]	Speed: 1126.99 samples/sec	accuracy=0.556250
INFO:root:Epoch[1] Batch [1550]	Speed: 1372.17 samples/sec	accuracy=0.533750
