INFO:root:Namespace(aug_level=2, batch_size=16, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=True, gpus='0,1,2,3,4,5,6,7', kv_store='local', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='8', retrain=False, wd=0.0001, workspace=512)
[07:20:53] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[07:20:55] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)]
[07:20:56] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [50]	Speed: 192.82 samples/sec	accuracy=0.133750
INFO:root:Epoch[0] Batch [100]	Speed: 521.39 samples/sec	accuracy=0.200000
INFO:root:Epoch[0] Batch [150]	Speed: 481.73 samples/sec	accuracy=0.248750
INFO:root:Epoch[0] Batch [200]	Speed: 560.72 samples/sec	accuracy=0.203750
INFO:root:Epoch[0] Batch [250]	Speed: 596.25 samples/sec	accuracy=0.247500
INFO:root:Epoch[0] Batch [300]	Speed: 569.70 samples/sec	accuracy=0.246250
INFO:root:Epoch[0] Batch [350]	Speed: 605.26 samples/sec	accuracy=0.243750
INFO:root:Epoch[0] Batch [400]	Speed: 647.51 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [450]	Speed: 631.06 samples/sec	accuracy=0.298750
INFO:root:Epoch[0] Batch [500]	Speed: 594.90 samples/sec	accuracy=0.308750
INFO:root:Epoch[0] Batch [550]	Speed: 533.50 samples/sec	accuracy=0.333750
INFO:root:Epoch[0] Batch [600]	Speed: 571.92 samples/sec	accuracy=0.295000
INFO:root:Epoch[0] Batch [650]	Speed: 595.00 samples/sec	accuracy=0.327500
INFO:root:Epoch[0] Batch [700]	Speed: 581.13 samples/sec	accuracy=0.297500
INFO:root:Epoch[0] Batch [750]	Speed: 652.77 samples/sec	accuracy=0.361250
INFO:root:Epoch[0] Batch [800]	Speed: 589.59 samples/sec	accuracy=0.337500
INFO:root:Epoch[0] Batch [850]	Speed: 616.37 samples/sec	accuracy=0.341250
INFO:root:Epoch[0] Batch [900]	Speed: 705.67 samples/sec	accuracy=0.355000
INFO:root:Epoch[0] Batch [950]	Speed: 554.74 samples/sec	accuracy=0.375000
INFO:root:Epoch[0] Batch [1000]	Speed: 613.49 samples/sec	accuracy=0.370000
INFO:root:Epoch[0] Batch [1050]	Speed: 591.83 samples/sec	accuracy=0.335000
INFO:root:Epoch[0] Batch [1100]	Speed: 615.94 samples/sec	accuracy=0.345000
INFO:root:Epoch[0] Batch [1150]	Speed: 562.50 samples/sec	accuracy=0.342500
INFO:root:Epoch[0] Batch [1200]	Speed: 635.65 samples/sec	accuracy=0.403750
INFO:root:Epoch[0] Batch [1250]	Speed: 582.74 samples/sec	accuracy=0.406250
INFO:root:Epoch[0] Batch [1300]	Speed: 498.67 samples/sec	accuracy=0.382500
INFO:root:Epoch[0] Batch [1350]	Speed: 474.98 samples/sec	accuracy=0.392500
INFO:root:Epoch[0] Batch [1400]	Speed: 485.52 samples/sec	accuracy=0.427500
INFO:root:Epoch[0] Batch [1450]	Speed: 599.63 samples/sec	accuracy=0.388750
INFO:root:Epoch[0] Batch [1500]	Speed: 546.52 samples/sec	accuracy=0.405000
INFO:root:Epoch[0] Batch [1550]	Speed: 564.37 samples/sec	accuracy=0.406250
INFO:root:Epoch[0] Batch [1600]	Speed: 523.51 samples/sec	accuracy=0.412500
INFO:root:Epoch[0] Batch [1650]	Speed: 521.30 samples/sec	accuracy=0.415000
INFO:root:Epoch[0] Batch [1700]	Speed: 555.75 samples/sec	accuracy=0.455000
INFO:root:Epoch[0] Batch [1750]	Speed: 483.85 samples/sec	accuracy=0.466250
INFO:root:Epoch[0] Batch [1800]	Speed: 493.17 samples/sec	accuracy=0.467500
INFO:root:Epoch[0] Batch [1850]	Speed: 492.40 samples/sec	accuracy=0.438750
INFO:root:Epoch[0] Batch [1900]	Speed: 461.55 samples/sec	accuracy=0.472500
INFO:root:Epoch[0] Batch [1950]	Speed: 477.25 samples/sec	accuracy=0.481250
INFO:root:Epoch[0] Batch [2000]	Speed: 477.90 samples/sec	accuracy=0.476250
INFO:root:Epoch[0] Batch [2050]	Speed: 509.75 samples/sec	accuracy=0.470000
INFO:root:Epoch[0] Batch [2100]	Speed: 479.21 samples/sec	accuracy=0.485000
INFO:root:Epoch[0] Batch [2150]	Speed: 545.45 samples/sec	accuracy=0.492500
INFO:root:Epoch[0] Batch [2200]	Speed: 570.34 samples/sec	accuracy=0.485000
INFO:root:Epoch[0] Batch [2250]	Speed: 618.77 samples/sec	accuracy=0.465000
INFO:root:Epoch[0] Batch [2300]	Speed: 672.20 samples/sec	accuracy=0.488750
INFO:root:Epoch[0] Batch [2350]	Speed: 684.52 samples/sec	accuracy=0.483750
INFO:root:Epoch[0] Batch [2400]	Speed: 660.95 samples/sec	accuracy=0.511250
INFO:root:Epoch[0] Batch [2450]	Speed: 651.51 samples/sec	accuracy=0.517500
INFO:root:Epoch[0] Batch [2500]	Speed: 489.43 samples/sec	accuracy=0.518750
INFO:root:Epoch[0] Batch [2550]	Speed: 497.87 samples/sec	accuracy=0.516250
INFO:root:Epoch[0] Batch [2600]	Speed: 459.43 samples/sec	accuracy=0.497500
INFO:root:Epoch[0] Batch [2650]	Speed: 545.20 samples/sec	accuracy=0.526250
INFO:root:Epoch[0] Batch [2700]	Speed: 612.65 samples/sec	accuracy=0.516250
INFO:root:Epoch[0] Batch [2750]	Speed: 523.10 samples/sec	accuracy=0.561250
INFO:root:Epoch[0] Batch [2800]	Speed: 484.16 samples/sec	accuracy=0.525000
INFO:root:Epoch[0] Batch [2850]	Speed: 506.81 samples/sec	accuracy=0.582500
INFO:root:Epoch[0] Batch [2900]	Speed: 539.31 samples/sec	accuracy=0.510000
INFO:root:Epoch[0] Batch [2950]	Speed: 565.80 samples/sec	accuracy=0.547500
INFO:root:Epoch[0] Batch [3000]	Speed: 670.63 samples/sec	accuracy=0.542500
INFO:root:Epoch[0] Batch [3050]	Speed: 510.18 samples/sec	accuracy=0.561250
INFO:root:Epoch[0] Batch [3100]	Speed: 510.52 samples/sec	accuracy=0.542500
INFO:root:Epoch[0] Resetting Data Iterator
INFO:root:Epoch[0] Time cost=97.492
INFO:root:Saved checkpoint to "model/resnet-cifar10-20-0-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.559200
INFO:root:Epoch[1] Batch [50]	Speed: 511.28 samples/sec	accuracy=0.581250
INFO:root:Epoch[1] Batch [100]	Speed: 536.09 samples/sec	accuracy=0.527500
INFO:root:Epoch[1] Batch [150]	Speed: 522.72 samples/sec	accuracy=0.570000
INFO:root:Epoch[1] Batch [200]	Speed: 465.33 samples/sec	accuracy=0.557500
INFO:root:Epoch[1] Batch [250]	Speed: 443.84 samples/sec	accuracy=0.577500
INFO:root:Epoch[1] Batch [300]	Speed: 572.91 samples/sec	accuracy=0.558750
INFO:root:Epoch[1] Batch [350]	Speed: 509.14 samples/sec	accuracy=0.575000
INFO:root:Epoch[1] Batch [400]	Speed: 457.23 samples/sec	accuracy=0.550000
INFO:root:Epoch[1] Batch [450]	Speed: 482.56 samples/sec	accuracy=0.582500
INFO:root:Epoch[1] Batch [500]	Speed: 555.69 samples/sec	accuracy=0.557500
INFO:root:Epoch[1] Batch [550]	Speed: 596.17 samples/sec	accuracy=0.560000
INFO:root:Epoch[1] Batch [600]	Speed: 554.70 samples/sec	accuracy=0.581250
INFO:root:Epoch[1] Batch [650]	Speed: 453.71 samples/sec	accuracy=0.556250
INFO:root:Epoch[1] Batch [700]	Speed: 512.11 samples/sec	accuracy=0.603750
INFO:root:Epoch[1] Batch [750]	Speed: 472.08 samples/sec	accuracy=0.571250
INFO:root:Epoch[1] Batch [800]	Speed: 516.50 samples/sec	accuracy=0.555000
INFO:root:Epoch[1] Batch [850]	Speed: 530.39 samples/sec	accuracy=0.563750
INFO:root:Epoch[1] Batch [900]	Speed: 482.85 samples/sec	accuracy=0.573750
INFO:root:Epoch[1] Batch [950]	Speed: 471.38 samples/sec	accuracy=0.586250
INFO:root:Epoch[1] Batch [1000]	Speed: 577.92 samples/sec	accuracy=0.612500
INFO:root:Epoch[1] Batch [1050]	Speed: 674.77 samples/sec	accuracy=0.568750
INFO:root:Epoch[1] Batch [1100]	Speed: 546.47 samples/sec	accuracy=0.573750
INFO:root:Epoch[1] Batch [1150]	Speed: 510.60 samples/sec	accuracy=0.626250
INFO:root:Epoch[1] Batch [1200]	Speed: 489.10 samples/sec	accuracy=0.611250
INFO:root:Epoch[1] Batch [1250]	Speed: 670.18 samples/sec	accuracy=0.618750
INFO:root:Epoch[1] Batch [1300]	Speed: 663.34 samples/sec	accuracy=0.575000
INFO:root:Epoch[1] Batch [1350]	Speed: 514.37 samples/sec	accuracy=0.612500
INFO:root:Epoch[1] Batch [1400]	Speed: 463.49 samples/sec	accuracy=0.597500
INFO:root:Epoch[1] Batch [1450]	Speed: 505.23 samples/sec	accuracy=0.586250
INFO:root:Epoch[1] Batch [1500]	Speed: 530.00 samples/sec	accuracy=0.590000
INFO:root:Epoch[1] Batch [1550]	Speed: 481.16 samples/sec	accuracy=0.590000
INFO:root:Epoch[1] Batch [1600]	Speed: 509.97 samples/sec	accuracy=0.591250
INFO:root:Epoch[1] Batch [1650]	Speed: 408.66 samples/sec	accuracy=0.596250
INFO:root:Epoch[1] Batch [1700]	Speed: 480.96 samples/sec	accuracy=0.578750
INFO:root:Epoch[1] Batch [1750]	Speed: 538.67 samples/sec	accuracy=0.635000
INFO:root:Epoch[1] Batch [1800]	Speed: 553.65 samples/sec	accuracy=0.618750
INFO:root:Epoch[1] Batch [1850]	Speed: 619.65 samples/sec	accuracy=0.587500
INFO:root:Epoch[1] Batch [1900]	Speed: 555.44 samples/sec	accuracy=0.633750
INFO:root:Epoch[1] Batch [1950]	Speed: 472.75 samples/sec	accuracy=0.615000
INFO:root:Epoch[1] Batch [2000]	Speed: 527.19 samples/sec	accuracy=0.635000
INFO:root:Epoch[1] Batch [2050]	Speed: 662.96 samples/sec	accuracy=0.613750
INFO:root:Epoch[1] Batch [2100]	Speed: 594.02 samples/sec	accuracy=0.601250
INFO:root:Epoch[1] Batch [2150]	Speed: 464.54 samples/sec	accuracy=0.635000
INFO:root:Epoch[1] Batch [2200]	Speed: 516.33 samples/sec	accuracy=0.568750
INFO:root:Epoch[1] Batch [2250]	Speed: 485.56 samples/sec	accuracy=0.595000
INFO:root:Epoch[1] Batch [2300]	Speed: 477.85 samples/sec	accuracy=0.627500
INFO:root:Epoch[1] Batch [2350]	Speed: 484.97 samples/sec	accuracy=0.633750
INFO:root:Epoch[1] Batch [2400]	Speed: 438.43 samples/sec	accuracy=0.631250
INFO:root:Epoch[1] Batch [2450]	Speed: 458.58 samples/sec	accuracy=0.597500
INFO:root:Epoch[1] Batch [2500]	Speed: 501.85 samples/sec	accuracy=0.637500
INFO:root:Epoch[1] Batch [2550]	Speed: 577.48 samples/sec	accuracy=0.647500
INFO:root:Epoch[1] Batch [2600]	Speed: 603.80 samples/sec	accuracy=0.635000
INFO:root:Epoch[1] Batch [2650]	Speed: 516.63 samples/sec	accuracy=0.616250
INFO:root:Epoch[1] Batch [2700]	Speed: 518.46 samples/sec	accuracy=0.645000
INFO:root:Epoch[1] Batch [2750]	Speed: 546.56 samples/sec	accuracy=0.651250
INFO:root:Epoch[1] Batch [2800]	Speed: 557.15 samples/sec	accuracy=0.645000
INFO:root:Epoch[1] Batch [2850]	Speed: 535.80 samples/sec	accuracy=0.635000
