INFO:root:Namespace(aug_level=2, batch_size=16, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=False, gpus='0,1,2,3,4,5,6,7', kv_store='local', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='8', retrain=False, wd=0.0001, workspace=512)
[06:24:45] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[06:24:46] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)]
[06:24:48] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [50]	Speed: 711.31 samples/sec	accuracy=0.128750
INFO:root:Epoch[0] Batch [100]	Speed: 737.98 samples/sec	accuracy=0.148750
INFO:root:Epoch[0] Batch [150]	Speed: 771.39 samples/sec	accuracy=0.157500
INFO:root:Epoch[0] Batch [200]	Speed: 770.33 samples/sec	accuracy=0.160000
INFO:root:Epoch[0] Batch [250]	Speed: 806.97 samples/sec	accuracy=0.183750
INFO:root:Epoch[0] Batch [300]	Speed: 808.15 samples/sec	accuracy=0.205000
INFO:root:Epoch[0] Batch [350]	Speed: 805.25 samples/sec	accuracy=0.195000
INFO:root:Epoch[0] Batch [400]	Speed: 818.48 samples/sec	accuracy=0.233750
INFO:root:Epoch[0] Batch [450]	Speed: 819.85 samples/sec	accuracy=0.203750
INFO:root:Epoch[0] Batch [500]	Speed: 794.43 samples/sec	accuracy=0.230000
INFO:root:Epoch[0] Batch [550]	Speed: 774.79 samples/sec	accuracy=0.236250
INFO:root:Epoch[0] Batch [600]	Speed: 746.15 samples/sec	accuracy=0.228750
INFO:root:Epoch[0] Batch [650]	Speed: 833.33 samples/sec	accuracy=0.236250
INFO:root:Epoch[0] Batch [700]	Speed: 758.74 samples/sec	accuracy=0.261250
INFO:root:Epoch[0] Batch [750]	Speed: 800.25 samples/sec	accuracy=0.258750
INFO:root:Epoch[0] Batch [800]	Speed: 799.06 samples/sec	accuracy=0.292500
INFO:root:Epoch[0] Batch [850]	Speed: 800.69 samples/sec	accuracy=0.253750
INFO:root:Epoch[0] Batch [900]	Speed: 746.51 samples/sec	accuracy=0.255000
INFO:root:Epoch[0] Batch [950]	Speed: 740.04 samples/sec	accuracy=0.282500
INFO:root:Epoch[0] Batch [1000]	Speed: 818.50 samples/sec	accuracy=0.301250
INFO:root:Epoch[0] Batch [1050]	Speed: 632.55 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [1100]	Speed: 720.68 samples/sec	accuracy=0.270000
INFO:root:Epoch[0] Batch [1150]	Speed: 732.24 samples/sec	accuracy=0.300000
INFO:root:Epoch[0] Batch [1200]	Speed: 788.33 samples/sec	accuracy=0.305000
INFO:root:Epoch[0] Batch [1250]	Speed: 798.03 samples/sec	accuracy=0.315000
INFO:root:Epoch[0] Batch [1300]	Speed: 754.03 samples/sec	accuracy=0.276250
INFO:root:Epoch[0] Batch [1350]	Speed: 786.64 samples/sec	accuracy=0.258750
INFO:root:Epoch[0] Batch [1400]	Speed: 789.37 samples/sec	accuracy=0.328750
INFO:root:Epoch[0] Batch [1450]	Speed: 776.16 samples/sec	accuracy=0.312500
INFO:root:Epoch[0] Batch [1500]	Speed: 808.59 samples/sec	accuracy=0.353750
INFO:root:Epoch[0] Batch [1550]	Speed: 674.37 samples/sec	accuracy=0.327500
INFO:root:Epoch[0] Batch [1600]	Speed: 779.72 samples/sec	accuracy=0.312500
INFO:root:Epoch[0] Batch [1650]	Speed: 705.17 samples/sec	accuracy=0.330000
INFO:root:Epoch[0] Batch [1700]	Speed: 765.24 samples/sec	accuracy=0.338750
INFO:root:Epoch[0] Batch [1750]	Speed: 723.18 samples/sec	accuracy=0.353750
INFO:root:Epoch[0] Batch [1800]	Speed: 734.61 samples/sec	accuracy=0.355000
INFO:root:Epoch[0] Batch [1850]	Speed: 748.41 samples/sec	accuracy=0.321250
INFO:root:Epoch[0] Batch [1900]	Speed: 646.79 samples/sec	accuracy=0.357500
INFO:root:Epoch[0] Batch [1950]	Speed: 784.93 samples/sec	accuracy=0.365000
INFO:root:Epoch[0] Batch [2000]	Speed: 749.03 samples/sec	accuracy=0.400000
INFO:root:Epoch[0] Batch [2050]	Speed: 764.69 samples/sec	accuracy=0.360000
INFO:root:Epoch[0] Batch [2100]	Speed: 645.73 samples/sec	accuracy=0.387500
INFO:root:Epoch[0] Batch [2150]	Speed: 714.63 samples/sec	accuracy=0.367500
INFO:root:Epoch[0] Batch [2200]	Speed: 763.38 samples/sec	accuracy=0.377500
INFO:root:Epoch[0] Batch [2250]	Speed: 801.16 samples/sec	accuracy=0.356250
INFO:root:Epoch[0] Batch [2300]	Speed: 755.43 samples/sec	accuracy=0.355000
INFO:root:Epoch[0] Batch [2350]	Speed: 706.47 samples/sec	accuracy=0.401250
INFO:root:Epoch[0] Batch [2400]	Speed: 707.27 samples/sec	accuracy=0.396250
INFO:root:Epoch[0] Batch [2450]	Speed: 678.74 samples/sec	accuracy=0.410000
INFO:root:Epoch[0] Batch [2500]	Speed: 832.86 samples/sec	accuracy=0.416250
INFO:root:Epoch[0] Batch [2550]	Speed: 842.12 samples/sec	accuracy=0.427500
INFO:root:Epoch[0] Batch [2600]	Speed: 886.36 samples/sec	accuracy=0.421250
INFO:root:Epoch[0] Batch [2650]	Speed: 925.39 samples/sec	accuracy=0.423750
INFO:root:Epoch[0] Batch [2700]	Speed: 741.20 samples/sec	accuracy=0.393750
INFO:root:Epoch[0] Batch [2750]	Speed: 883.61 samples/sec	accuracy=0.463750
INFO:root:Epoch[0] Batch [2800]	Speed: 766.65 samples/sec	accuracy=0.462500
INFO:root:Epoch[0] Batch [2850]	Speed: 830.50 samples/sec	accuracy=0.411250
INFO:root:Epoch[0] Batch [2900]	Speed: 891.39 samples/sec	accuracy=0.450000
INFO:root:Epoch[0] Batch [2950]	Speed: 907.27 samples/sec	accuracy=0.486250
INFO:root:Epoch[0] Batch [3000]	Speed: 756.35 samples/sec	accuracy=0.433750
INFO:root:Epoch[0] Batch [3050]	Speed: 800.98 samples/sec	accuracy=0.448750
INFO:root:Epoch[0] Batch [3100]	Speed: 811.37 samples/sec	accuracy=0.450000
INFO:root:Epoch[0] Resetting Data Iterator
INFO:root:Epoch[0] Time cost=65.803
INFO:root:Saved checkpoint to "model/resnet-cifar10-20-0-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.457700
INFO:root:Epoch[1] Batch [50]	Speed: 772.10 samples/sec	accuracy=0.435000
INFO:root:Epoch[1] Batch [100]	Speed: 754.19 samples/sec	accuracy=0.453750
INFO:root:Epoch[1] Batch [150]	Speed: 739.29 samples/sec	accuracy=0.488750
