INFO:root:Namespace(aug_level=2, batch_size=8, bn_mom=0.9, data_dir='data/cifar10', data_type='cifar10', depth=20, frequent=50, global_bn=False, gpus='0', kv_store='local', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=50000, num_gpus='1', retrain=False, wd=0.0001, workspace=512)
[17:59:54] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/train.rec, use 4 threads for decoding..
[17:59:56] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: data/cifar10/val.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:577: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/tusimple/Hongbin/incubator-mxnet/python/mxnet/model.py:583: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0)]
[17:59:58] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [50]	Speed: 885.15 samples/sec	accuracy=0.115000
INFO:root:Epoch[0] Batch [100]	Speed: 1009.62 samples/sec	accuracy=0.165000
INFO:root:Epoch[0] Batch [150]	Speed: 1016.28 samples/sec	accuracy=0.180000
INFO:root:Epoch[0] Batch [200]	Speed: 998.21 samples/sec	accuracy=0.185000
INFO:root:Epoch[0] Batch [250]	Speed: 982.32 samples/sec	accuracy=0.192500
INFO:root:Epoch[0] Batch [300]	Speed: 1001.37 samples/sec	accuracy=0.217500
INFO:root:Epoch[0] Batch [350]	Speed: 970.94 samples/sec	accuracy=0.220000
INFO:root:Epoch[0] Batch [400]	Speed: 974.20 samples/sec	accuracy=0.210000
INFO:root:Epoch[0] Batch [450]	Speed: 980.40 samples/sec	accuracy=0.197500
INFO:root:Epoch[0] Batch [500]	Speed: 975.26 samples/sec	accuracy=0.247500
INFO:root:Epoch[0] Batch [550]	Speed: 1023.96 samples/sec	accuracy=0.207500
INFO:root:Epoch[0] Batch [600]	Speed: 993.87 samples/sec	accuracy=0.217500
INFO:root:Epoch[0] Batch [650]	Speed: 1028.79 samples/sec	accuracy=0.202500
INFO:root:Epoch[0] Batch [700]	Speed: 983.23 samples/sec	accuracy=0.237500
INFO:root:Epoch[0] Batch [750]	Speed: 1040.97 samples/sec	accuracy=0.215000
INFO:root:Epoch[0] Batch [800]	Speed: 994.54 samples/sec	accuracy=0.205000
INFO:root:Epoch[0] Batch [850]	Speed: 976.42 samples/sec	accuracy=0.250000
INFO:root:Epoch[0] Batch [900]	Speed: 921.77 samples/sec	accuracy=0.295000
INFO:root:Epoch[0] Batch [950]	Speed: 910.93 samples/sec	accuracy=0.257500
INFO:root:Epoch[0] Batch [1000]	Speed: 1021.64 samples/sec	accuracy=0.210000
INFO:root:Epoch[0] Batch [1050]	Speed: 941.35 samples/sec	accuracy=0.192500
INFO:root:Epoch[0] Batch [1100]	Speed: 1002.92 samples/sec	accuracy=0.227500
INFO:root:Epoch[0] Batch [1150]	Speed: 1007.87 samples/sec	accuracy=0.220000
INFO:root:Epoch[0] Batch [1200]	Speed: 984.45 samples/sec	accuracy=0.232500
INFO:root:Epoch[0] Batch [1250]	Speed: 904.90 samples/sec	accuracy=0.232500
INFO:root:Epoch[0] Batch [1300]	Speed: 913.20 samples/sec	accuracy=0.230000
INFO:root:Epoch[0] Batch [1350]	Speed: 976.56 samples/sec	accuracy=0.227500
INFO:root:Epoch[0] Batch [1400]	Speed: 994.65 samples/sec	accuracy=0.240000
INFO:root:Epoch[0] Batch [1450]	Speed: 965.18 samples/sec	accuracy=0.227500
INFO:root:Epoch[0] Batch [1500]	Speed: 989.22 samples/sec	accuracy=0.250000
INFO:root:Epoch[0] Batch [1550]	Speed: 996.19 samples/sec	accuracy=0.232500
INFO:root:Epoch[0] Batch [1600]	Speed: 950.13 samples/sec	accuracy=0.250000
INFO:root:Epoch[0] Batch [1650]	Speed: 941.82 samples/sec	accuracy=0.250000
INFO:root:Epoch[0] Batch [1700]	Speed: 950.27 samples/sec	accuracy=0.275000
INFO:root:Epoch[0] Batch [1750]	Speed: 959.30 samples/sec	accuracy=0.245000
INFO:root:Epoch[0] Batch [1800]	Speed: 976.87 samples/sec	accuracy=0.250000
INFO:root:Epoch[0] Batch [1850]	Speed: 980.84 samples/sec	accuracy=0.280000
INFO:root:Epoch[0] Batch [1900]	Speed: 1039.71 samples/sec	accuracy=0.267500
INFO:root:Epoch[0] Batch [1950]	Speed: 1059.75 samples/sec	accuracy=0.287500
INFO:root:Epoch[0] Batch [2000]	Speed: 1037.91 samples/sec	accuracy=0.305000
INFO:root:Epoch[0] Batch [2050]	Speed: 1054.86 samples/sec	accuracy=0.245000
INFO:root:Epoch[0] Batch [2100]	Speed: 986.26 samples/sec	accuracy=0.272500
INFO:root:Epoch[0] Batch [2150]	Speed: 939.17 samples/sec	accuracy=0.287500
INFO:root:Epoch[0] Batch [2200]	Speed: 967.90 samples/sec	accuracy=0.252500
INFO:root:Epoch[0] Batch [2250]	Speed: 962.19 samples/sec	accuracy=0.267500
INFO:root:Epoch[0] Batch [2300]	Speed: 954.24 samples/sec	accuracy=0.297500
INFO:root:Epoch[0] Batch [2350]	Speed: 994.54 samples/sec	accuracy=0.307500
INFO:root:Epoch[0] Batch [2400]	Speed: 925.09 samples/sec	accuracy=0.272500
INFO:root:Epoch[0] Batch [2450]	Speed: 916.76 samples/sec	accuracy=0.277500
INFO:root:Epoch[0] Batch [2500]	Speed: 944.51 samples/sec	accuracy=0.295000
INFO:root:Epoch[0] Batch [2550]	Speed: 928.08 samples/sec	accuracy=0.325000
INFO:root:Epoch[0] Batch [2600]	Speed: 974.04 samples/sec	accuracy=0.300000
INFO:root:Epoch[0] Batch [2650]	Speed: 955.31 samples/sec	accuracy=0.310000
INFO:root:Epoch[0] Batch [2700]	Speed: 994.62 samples/sec	accuracy=0.285000
INFO:root:Epoch[0] Batch [2750]	Speed: 1034.68 samples/sec	accuracy=0.285000
INFO:root:Epoch[0] Batch [2800]	Speed: 1026.12 samples/sec	accuracy=0.310000
INFO:root:Epoch[0] Batch [2850]	Speed: 1025.70 samples/sec	accuracy=0.297500
INFO:root:Epoch[0] Batch [2900]	Speed: 1005.82 samples/sec	accuracy=0.267500
INFO:root:Epoch[0] Batch [2950]	Speed: 1042.24 samples/sec	accuracy=0.330000
INFO:root:Epoch[0] Batch [3000]	Speed: 1030.17 samples/sec	accuracy=0.330000
INFO:root:Epoch[0] Batch [3050]	Speed: 1006.45 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [3100]	Speed: 900.32 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [3150]	Speed: 963.45 samples/sec	accuracy=0.302500
INFO:root:Epoch[0] Batch [3200]	Speed: 922.15 samples/sec	accuracy=0.395000
INFO:root:Epoch[0] Batch [3250]	Speed: 973.00 samples/sec	accuracy=0.330000
INFO:root:Epoch[0] Batch [3300]	Speed: 1014.13 samples/sec	accuracy=0.355000
INFO:root:Epoch[0] Batch [3350]	Speed: 914.06 samples/sec	accuracy=0.315000
INFO:root:Epoch[0] Batch [3400]	Speed: 994.33 samples/sec	accuracy=0.375000
INFO:root:Epoch[0] Batch [3450]	Speed: 1004.72 samples/sec	accuracy=0.365000
INFO:root:Epoch[0] Batch [3500]	Speed: 898.95 samples/sec	accuracy=0.357500
INFO:root:Epoch[0] Batch [3550]	Speed: 958.80 samples/sec	accuracy=0.382500
INFO:root:Epoch[0] Batch [3600]	Speed: 877.80 samples/sec	accuracy=0.350000
INFO:root:Epoch[0] Batch [3650]	Speed: 933.14 samples/sec	accuracy=0.302500
INFO:root:Epoch[0] Batch [3700]	Speed: 890.94 samples/sec	accuracy=0.307500
INFO:root:Epoch[0] Batch [3750]	Speed: 894.17 samples/sec	accuracy=0.347500
INFO:root:Epoch[0] Batch [3800]	Speed: 984.85 samples/sec	accuracy=0.377500
INFO:root:Epoch[0] Batch [3850]	Speed: 969.00 samples/sec	accuracy=0.375000
INFO:root:Epoch[0] Batch [3900]	Speed: 920.97 samples/sec	accuracy=0.337500
INFO:root:Epoch[0] Batch [3950]	Speed: 885.46 samples/sec	accuracy=0.367500
INFO:root:Epoch[0] Batch [4000]	Speed: 961.17 samples/sec	accuracy=0.365000
INFO:root:Epoch[0] Batch [4050]	Speed: 974.21 samples/sec	accuracy=0.367500
INFO:root:Epoch[0] Batch [4100]	Speed: 944.01 samples/sec	accuracy=0.377500
INFO:root:Epoch[0] Batch [4150]	Speed: 991.62 samples/sec	accuracy=0.375000
INFO:root:Epoch[0] Batch [4200]	Speed: 975.03 samples/sec	accuracy=0.372500
INFO:root:Epoch[0] Batch [4250]	Speed: 1009.85 samples/sec	accuracy=0.405000
INFO:root:Epoch[0] Batch [4300]	Speed: 964.00 samples/sec	accuracy=0.362500
INFO:root:Epoch[0] Batch [4350]	Speed: 963.28 samples/sec	accuracy=0.355000
INFO:root:Epoch[0] Batch [4400]	Speed: 971.35 samples/sec	accuracy=0.417500
INFO:root:Epoch[0] Batch [4450]	Speed: 934.74 samples/sec	accuracy=0.405000
INFO:root:Epoch[0] Batch [4500]	Speed: 959.14 samples/sec	accuracy=0.345000
INFO:root:Epoch[0] Batch [4550]	Speed: 933.00 samples/sec	accuracy=0.385000
INFO:root:Epoch[0] Batch [4600]	Speed: 940.58 samples/sec	accuracy=0.400000
INFO:root:Epoch[0] Batch [4650]	Speed: 948.10 samples/sec	accuracy=0.372500
INFO:root:Epoch[0] Batch [4700]	Speed: 905.87 samples/sec	accuracy=0.375000
INFO:root:Epoch[0] Batch [4750]	Speed: 910.63 samples/sec	accuracy=0.405000
INFO:root:Epoch[0] Batch [4800]	Speed: 999.76 samples/sec	accuracy=0.305000
INFO:root:Epoch[0] Batch [4850]	Speed: 962.07 samples/sec	accuracy=0.422500
INFO:root:Epoch[0] Batch [4900]	Speed: 983.52 samples/sec	accuracy=0.392500
INFO:root:Epoch[0] Batch [4950]	Speed: 981.61 samples/sec	accuracy=0.382500
INFO:root:Epoch[0] Batch [5000]	Speed: 930.62 samples/sec	accuracy=0.455000
INFO:root:Epoch[0] Batch [5050]	Speed: 1014.82 samples/sec	accuracy=0.437500
INFO:root:Epoch[0] Batch [5100]	Speed: 982.65 samples/sec	accuracy=0.455000
INFO:root:Epoch[0] Batch [5150]	Speed: 960.79 samples/sec	accuracy=0.395000
INFO:root:Epoch[0] Batch [5200]	Speed: 972.84 samples/sec	accuracy=0.405000
INFO:root:Epoch[0] Batch [5250]	Speed: 968.43 samples/sec	accuracy=0.347500
